SearchBayesianSkopt: New best config found. Config 0: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 1911, 'user_shrink': 1246, 'item_topK': 58, 'item_shrink': 1553} - results: ROC_AUC: 0.0771801, PRECISION: 0.0126892, PRECISION_RECALL_MIN_DEN: 0.0422973, RECALL: 0.0422973, MAP: 0.0198618, MRR: 0.0557251, NDCG: 0.0346001, F1: 0.0195218, HIT_RATE: 0.1268920, ARHR: 0.0576325, RMSE: 0.9800597, NOVELTY: 0.0050435, AVERAGE_POPULARITY: 0.7584810, DIVERSITY_MEAN_INTER_LIST: 0.6381720, DIVERSITY_HERFINDAHL: 0.9638133, COVERAGE_ITEM: 0.0789943, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0475040, SHANNON_ENTROPY: 5.8257054, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1487, 'user_shrink': 1104, 'item_topK': 83, 'item_shrink': 1157} - results: ROC_AUC: 0.0759477, PRECISION: 0.0125039, PRECISION_RECALL_MIN_DEN: 0.0416795, RECALL: 0.0416795, MAP: 0.0194096, MRR: 0.0544213, NDCG: 0.0339224, F1: 0.0192367, HIT_RATE: 0.1250386, ARHR: 0.0562992, RMSE: 0.9721524, NOVELTY: 0.0050411, AVERAGE_POPULARITY: 0.7608422, DIVERSITY_MEAN_INTER_LIST: 0.6271527, DIVERSITY_HERFINDAHL: 0.9627114, COVERAGE_ITEM: 0.0865099, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0441739, SHANNON_ENTROPY: 5.7762951, 
SearchBayesianSkopt: New best config found. Config 2: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1110, 'user_shrink': 1167, 'item_topK': 81, 'item_shrink': 1044} - results: ROC_AUC: 0.0829370, PRECISION: 0.0135788, PRECISION_RECALL_MIN_DEN: 0.0452627, RECALL: 0.0452627, MAP: 0.0213802, MRR: 0.0596627, NDCG: 0.0371225, F1: 0.0208905, HIT_RATE: 0.1357880, ARHR: 0.0618645, RMSE: 0.9750243, NOVELTY: 0.0050966, AVERAGE_POPULARITY: 0.7272799, DIVERSITY_MEAN_INTER_LIST: 0.7048130, DIVERSITY_HERFINDAHL: 0.9704769, COVERAGE_ITEM: 0.1196540, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0490943, SHANNON_ENTROPY: 6.2695585, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1908, 'user_shrink': 1209, 'item_topK': 66, 'item_shrink': 1291} - results: ROC_AUC: 0.0765446, PRECISION: 0.0124791, PRECISION_RECALL_MIN_DEN: 0.0415972, RECALL: 0.0415972, MAP: 0.0194986, MRR: 0.0545549, NDCG: 0.0339873, F1: 0.0191987, HIT_RATE: 0.1247915, ARHR: 0.0564997, RMSE: 0.9754804, NOVELTY: 0.0050349, AVERAGE_POPULARITY: 0.7640324, DIVERSITY_MEAN_INTER_LIST: 0.6231740, DIVERSITY_HERFINDAHL: 0.9623136, COVERAGE_ITEM: 0.0753177, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0462302, SHANNON_ENTROPY: 5.7416264, 
SearchBayesianSkopt: New best config found. Config 4: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 786, 'user_shrink': 1698, 'item_topK': 57, 'item_shrink': 1978} - results: ROC_AUC: 0.0924985, PRECISION: 0.0149194, PRECISION_RECALL_MIN_DEN: 0.0497313, RECALL: 0.0497313, MAP: 0.0240778, MRR: 0.0666271, NDCG: 0.0413276, F1: 0.0229529, HIT_RATE: 0.1491938, ARHR: 0.0693898, RMSE: 0.9899661, NOVELTY: 0.0052185, AVERAGE_POPULARITY: 0.6593404, DIVERSITY_MEAN_INTER_LIST: 0.8160441, DIVERSITY_HERFINDAHL: 0.9815994, COVERAGE_ITEM: 0.1756691, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0662135, SHANNON_ENTROPY: 7.1877577, 
SearchBayesianSkopt: New best config found. Config 5: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 1650, 'user_shrink': 1599, 'item_topK': 30, 'item_shrink': 1214} - results: ROC_AUC: 0.0923112, PRECISION: 0.0147588, PRECISION_RECALL_MIN_DEN: 0.0491959, RECALL: 0.0491959, MAP: 0.0243486, MRR: 0.0671896, NDCG: 0.0414048, F1: 0.0227058, HIT_RATE: 0.1475876, ARHR: 0.0700772, RMSE: 0.9864888, NOVELTY: 0.0052218, AVERAGE_POPULARITY: 0.6529571, DIVERSITY_MEAN_INTER_LIST: 0.8121802, DIVERSITY_HERFINDAHL: 0.9812130, COVERAGE_ITEM: 0.1545283, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0698523, SHANNON_ENTROPY: 7.1654968, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 779, 'user_shrink': 1474, 'item_topK': 66, 'item_shrink': 1663} - results: ROC_AUC: 0.0916099, PRECISION: 0.0146599, PRECISION_RECALL_MIN_DEN: 0.0488664, RECALL: 0.0488664, MAP: 0.0236415, MRR: 0.0655960, NDCG: 0.0406338, F1: 0.0225537, HIT_RATE: 0.1465991, ARHR: 0.0682178, RMSE: 0.9870652, NOVELTY: 0.0051846, AVERAGE_POPULARITY: 0.6778451, DIVERSITY_MEAN_INTER_LIST: 0.7934349, DIVERSITY_HERFINDAHL: 0.9793386, COVERAGE_ITEM: 0.1646391, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0606151, SHANNON_ENTROPY: 6.9650844, 
SearchBayesianSkopt: New best config found. Config 7: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 1634, 'user_shrink': 1055, 'item_topK': 2, 'item_shrink': 1891} - results: ROC_AUC: 0.0974011, PRECISION: 0.0147402, PRECISION_RECALL_MIN_DEN: 0.0491341, RECALL: 0.0491341, MAP: 0.0254306, MRR: 0.0710576, NDCG: 0.0427273, F1: 0.0226773, HIT_RATE: 0.1474022, ARHR: 0.0736516, RMSE: 0.9972798, NOVELTY: 0.0056701, AVERAGE_POPULARITY: 0.4445472, DIVERSITY_MEAN_INTER_LIST: 0.9091685, DIVERSITY_HERFINDAHL: 0.9909112, COVERAGE_ITEM: 0.2975939, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1237089, SHANNON_ENTROPY: 8.9796010, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 1128, 'user_shrink': 1540, 'item_topK': 41, 'item_shrink': 1202} - results: ROC_AUC: 0.0933942, PRECISION: 0.0150306, PRECISION_RECALL_MIN_DEN: 0.0501019, RECALL: 0.0501019, MAP: 0.0246642, MRR: 0.0679997, NDCG: 0.0420145, F1: 0.0231240, HIT_RATE: 0.1503058, ARHR: 0.0709581, RMSE: 0.9857301, NOVELTY: 0.0052305, AVERAGE_POPULARITY: 0.6499614, DIVERSITY_MEAN_INTER_LIST: 0.8240934, DIVERSITY_HERFINDAHL: 0.9824042, COVERAGE_ITEM: 0.1685861, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0689613, SHANNON_ENTROPY: 7.2497543, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 1559, 'user_shrink': 1037, 'item_topK': 26, 'item_shrink': 1773} - results: ROC_AUC: 0.0868878, PRECISION: 0.0140977, PRECISION_RECALL_MIN_DEN: 0.0469924, RECALL: 0.0469924, MAP: 0.0227727, MRR: 0.0631280, NDCG: 0.0390747, F1: 0.0216888, HIT_RATE: 0.1409773, ARHR: 0.0656898, RMSE: 0.9880091, NOVELTY: 0.0051620, AVERAGE_POPULARITY: 0.6863613, DIVERSITY_MEAN_INTER_LIST: 0.7634609, DIVERSITY_HERFINDAHL: 0.9763414, COVERAGE_ITEM: 0.1339281, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0605739, SHANNON_ENTROPY: 6.7397744, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 700, 'user_shrink': 2000, 'item_topK': 1, 'item_shrink': 1000} - results: ROC_AUC: 0.0930396, PRECISION: 0.0137950, PRECISION_RECALL_MIN_DEN: 0.0459834, RECALL: 0.0459834, MAP: 0.0241629, MRR: 0.0680019, NDCG: 0.0404615, F1: 0.0212231, HIT_RATE: 0.1379502, ARHR: 0.0702226, RMSE: 0.9979896, NOVELTY: 0.0061342, AVERAGE_POPULARITY: 0.3000310, DIVERSITY_MEAN_INTER_LIST: 0.9793888, DIVERSITY_HERFINDAHL: 0.9979328, COVERAGE_ITEM: 0.3818329, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2158658, SHANNON_ENTROPY: 10.6045539, 
