SearchBayesianSkopt: New best config found. Config 0: {'topK': 651, 'shrink': 638, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0058043, PRECISION: 0.0012072, PRECISION_RECALL_MIN_DEN: 0.0040240, RECALL: 0.0040240, MAP: 0.0013785, MRR: 0.0041355, NDCG: 0.0027787, F1: 0.0018572, HIT_RATE: 0.0120720, ARHR: 0.0041355, RMSE: 0.9993238, NOVELTY: 0.0069953, AVERAGE_POPULARITY: 0.1096880, DIVERSITY_MEAN_INTER_LIST: 0.9730083, DIVERSITY_HERFINDAHL: 0.9972795, COVERAGE_ITEM: 0.1214923, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3158981, SHANNON_ENTROPY: 9.7317492, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 598, 'shrink': 1323, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0049020, PRECISION: 0.0008999, PRECISION_RECALL_MIN_DEN: 0.0029997, RECALL: 0.0029997, MAP: 0.0011033, MRR: 0.0033100, NDCG: 0.0021610, F1: 0.0013845, HIT_RATE: 0.0089991, ARHR: 0.0033100, RMSE: 0.9995652, NOVELTY: 0.0070452, AVERAGE_POPULARITY: 0.0928800, DIVERSITY_MEAN_INTER_LIST: 0.9666110, DIVERSITY_HERFINDAHL: 0.9966399, COVERAGE_ITEM: 0.1226818, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3175295, SHANNON_ENTROPY: 9.6799407, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 300, 'shrink': 1003, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0028823, PRECISION: 0.0005268, PRECISION_RECALL_MIN_DEN: 0.0017559, RECALL: 0.0017559, MAP: 0.0006706, MRR: 0.0019385, NDCG: 0.0012815, F1: 0.0008104, HIT_RATE: 0.0052678, ARHR: 0.0019751, RMSE: 0.9996190, NOVELTY: 0.0068683, AVERAGE_POPULARITY: 0.0903865, DIVERSITY_MEAN_INTER_LIST: 0.9618127, DIVERSITY_HERFINDAHL: 0.9961602, COVERAGE_ITEM: 0.0584482, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4364658, SHANNON_ENTROPY: 9.1206913, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 955, 'shrink': 608, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0316890, PRECISION: 0.0060140, PRECISION_RECALL_MIN_DEN: 0.0200468, RECALL: 0.0200468, MAP: 0.0063871, MRR: 0.0182696, NDCG: 0.0132843, F1: 0.0092524, HIT_RATE: 0.0601405, ARHR: 0.0187154, RMSE: 0.9426644, NOVELTY: 0.0055194, AVERAGE_POPULARITY: 0.4865408, DIVERSITY_MEAN_INTER_LIST: 0.9221178, DIVERSITY_HERFINDAHL: 0.9921915, COVERAGE_ITEM: 0.0210868, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3799289, SHANNON_ENTROPY: 7.5882382, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 660, 'shrink': 1665, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0192466, PRECISION: 0.0037313, PRECISION_RECALL_MIN_DEN: 0.0124378, RECALL: 0.0124378, MAP: 0.0039993, MRR: 0.0115878, NDCG: 0.0082828, F1: 0.0057405, HIT_RATE: 0.0373134, ARHR: 0.0117929, RMSE: 0.9975678, NOVELTY: 0.0057740, AVERAGE_POPULARITY: 0.3694973, DIVERSITY_MEAN_INTER_LIST: 0.9076844, DIVERSITY_HERFINDAHL: 0.9907485, COVERAGE_ITEM: 0.1497702, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1526646, SHANNON_ENTROPY: 8.2788183, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 565, 'shrink': 534, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0046093, PRECISION: 0.0009658, PRECISION_RECALL_MIN_DEN: 0.0032192, RECALL: 0.0032192, MAP: 0.0008615, MRR: 0.0025846, NDCG: 0.0019670, F1: 0.0014858, HIT_RATE: 0.0096576, ARHR: 0.0025846, RMSE: 0.9978003, NOVELTY: 0.0070628, AVERAGE_POPULARITY: 0.0839690, DIVERSITY_MEAN_INTER_LIST: 0.9639354, DIVERSITY_HERFINDAHL: 0.9963724, COVERAGE_ITEM: 0.1222493, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3258721, SHANNON_ENTROPY: 9.6787367, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 38, 'shrink': 476, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0014633, PRECISION: 0.0002634, PRECISION_RECALL_MIN_DEN: 0.0008780, RECALL: 0.0008780, MAP: 0.0002076, MRR: 0.0006228, NDCG: 0.0005139, F1: 0.0004052, HIT_RATE: 0.0026339, ARHR: 0.0006228, RMSE: 0.9997780, NOVELTY: 0.0063890, AVERAGE_POPULARITY: 0.0350125, DIVERSITY_MEAN_INTER_LIST: 0.6487366, DIVERSITY_HERFINDAHL: 0.9648594, COVERAGE_ITEM: 0.1022438, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2286446, SHANNON_ENTROPY: 7.1821550, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 300, 'shrink': 1004, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0090388, PRECISION: 0.0016681, PRECISION_RECALL_MIN_DEN: 0.0055604, RECALL: 0.0055604, MAP: 0.0020655, MRR: 0.0061337, NDCG: 0.0040202, F1: 0.0025664, HIT_RATE: 0.0166813, ARHR: 0.0061651, RMSE: 0.9918560, NOVELTY: 0.0064504, AVERAGE_POPULARITY: 0.1764779, DIVERSITY_MEAN_INTER_LIST: 0.9678106, DIVERSITY_HERFINDAHL: 0.9967598, COVERAGE_ITEM: 0.0628819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4361661, SHANNON_ENTROPY: 9.2583997, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 258, 'shrink': 1382, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0079504, PRECISION: 0.0012730, PRECISION_RECALL_MIN_DEN: 0.0042435, RECALL: 0.0042435, MAP: 0.0018828, MRR: 0.0056485, NDCG: 0.0034152, F1: 0.0019585, HIT_RATE: 0.0127305, ARHR: 0.0056485, RMSE: 0.9951807, NOVELTY: 0.0065636, AVERAGE_POPULARITY: 0.1501525, DIVERSITY_MEAN_INTER_LIST: 0.9665402, DIVERSITY_HERFINDAHL: 0.9966328, COVERAGE_ITEM: 0.0657475, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4613227, SHANNON_ENTROPY: 9.3460998, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 498, 'shrink': 1722, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0191978, PRECISION: 0.0040167, PRECISION_RECALL_MIN_DEN: 0.0133889, RECALL: 0.0133889, MAP: 0.0041652, MRR: 0.0120561, NDCG: 0.0087411, F1: 0.0061795, HIT_RATE: 0.0401668, ARHR: 0.0122759, RMSE: 0.9756765, NOVELTY: 0.0059064, AVERAGE_POPULARITY: 0.3418760, DIVERSITY_MEAN_INTER_LIST: 0.9603686, DIVERSITY_HERFINDAHL: 0.9960158, COVERAGE_ITEM: 0.0313058, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4613802, SHANNON_ENTROPY: 8.4463167, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 513, 'shrink': 1258, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0204294, PRECISION: 0.0041045, PRECISION_RECALL_MIN_DEN: 0.0136816, RECALL: 0.0136816, MAP: 0.0041328, MRR: 0.0122120, NDCG: 0.0088514, F1: 0.0063146, HIT_RATE: 0.0410448, ARHR: 0.0123052, RMSE: 0.9919420, NOVELTY: 0.0058619, AVERAGE_POPULARITY: 0.3847571, DIVERSITY_MEAN_INTER_LIST: 0.9260374, DIVERSITY_HERFINDAHL: 0.9925834, COVERAGE_ITEM: 0.1033252, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1686965, SHANNON_ENTROPY: 8.3013913, 
