SearchBayesianSkopt: New best config found. Config 0: {'topK': 191, 'shrink': 1890, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0124470, PRECISION: 0.0023047, PRECISION_RECALL_MIN_DEN: 0.0076822, RECALL: 0.0076822, MAP: 0.0025125, MRR: 0.0073474, NDCG: 0.0051835, F1: 0.0035456, HIT_RATE: 0.0230465, ARHR: 0.0074425, RMSE: 0.9930331, NOVELTY: 0.0059158, AVERAGE_POPULARITY: 0.2308582, DIVERSITY_MEAN_INTER_LIST: 0.8767181, DIVERSITY_HERFINDAHL: 0.9876526, COVERAGE_ITEM: 0.0713706, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1846772, SHANNON_ENTROPY: 7.9137362, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 576, 'shrink': 500, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0205117, PRECISION: 0.0037752, PRECISION_RECALL_MIN_DEN: 0.0125841, RECALL: 0.0125841, MAP: 0.0042717, MRR: 0.0127602, NDCG: 0.0086891, F1: 0.0058081, HIT_RATE: 0.0377524, ARHR: 0.0127876, RMSE: 0.9288397, NOVELTY: 0.0058433, AVERAGE_POPULARITY: 0.3709105, DIVERSITY_MEAN_INTER_LIST: 0.9396616, DIVERSITY_HERFINDAHL: 0.9939455, COVERAGE_ITEM: 0.1107867, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1830178, SHANNON_ENTROPY: 8.5787458, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 696, 'shrink': 1352, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0217692, PRECISION: 0.0041484, PRECISION_RECALL_MIN_DEN: 0.0138279, RECALL: 0.0138279, MAP: 0.0041963, MRR: 0.0123915, NDCG: 0.0089981, F1: 0.0063821, HIT_RATE: 0.0414838, ARHR: 0.0124902, RMSE: 0.9582729, NOVELTY: 0.0058480, AVERAGE_POPULARITY: 0.4043189, DIVERSITY_MEAN_INTER_LIST: 0.9405416, DIVERSITY_HERFINDAHL: 0.9940335, COVERAGE_ITEM: 0.1082455, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2035095, SHANNON_ENTROPY: 8.6753657, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 180, 'shrink': 606, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0114349, PRECISION: 0.0020193, PRECISION_RECALL_MIN_DEN: 0.0067311, RECALL: 0.0067311, MAP: 0.0024039, MRR: 0.0071019, NDCG: 0.0047749, F1: 0.0031066, HIT_RATE: 0.0201932, ARHR: 0.0071568, RMSE: 0.9804116, NOVELTY: 0.0059487, AVERAGE_POPULARITY: 0.2208264, DIVERSITY_MEAN_INTER_LIST: 0.8734985, DIVERSITY_HERFINDAHL: 0.9873307, COVERAGE_ITEM: 0.0686672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1947062, SHANNON_ENTROPY: 7.9138182, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 835, 'shrink': 378, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0223743, PRECISION: 0.0043020, PRECISION_RECALL_MIN_DEN: 0.0143401, RECALL: 0.0143401, MAP: 0.0047028, MRR: 0.0137413, NDCG: 0.0096693, F1: 0.0066185, HIT_RATE: 0.0430202, ARHR: 0.0139249, RMSE: 0.9013316, NOVELTY: 0.0058101, AVERAGE_POPULARITY: 0.4298222, DIVERSITY_MEAN_INTER_LIST: 0.9321592, DIVERSITY_HERFINDAHL: 0.9931955, COVERAGE_ITEM: 0.1022438, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2135513, SHANNON_ENTROPY: 8.6006171, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 870, 'shrink': 975, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0236120, PRECISION: 0.0043679, PRECISION_RECALL_MIN_DEN: 0.0145596, RECALL: 0.0145596, MAP: 0.0051271, MRR: 0.0150222, NDCG: 0.0102095, F1: 0.0067198, HIT_RATE: 0.0436787, ARHR: 0.0152017, RMSE: 0.9270573, NOVELTY: 0.0057843, AVERAGE_POPULARITY: 0.4367740, DIVERSITY_MEAN_INTER_LIST: 0.9296042, DIVERSITY_HERFINDAHL: 0.9929400, COVERAGE_ITEM: 0.1002974, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2118080, SHANNON_ENTROPY: 8.5537605, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 195, 'shrink': 1364, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0117412, PRECISION: 0.0021510, PRECISION_RECALL_MIN_DEN: 0.0071700, RECALL: 0.0071700, MAP: 0.0024439, MRR: 0.0071853, NDCG: 0.0049460, F1: 0.0033092, HIT_RATE: 0.0215101, ARHR: 0.0072584, RMSE: 0.9894897, NOVELTY: 0.0059091, AVERAGE_POPULARITY: 0.2347220, DIVERSITY_MEAN_INTER_LIST: 0.8790730, DIVERSITY_HERFINDAHL: 0.9878880, COVERAGE_ITEM: 0.0734793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1806365, SHANNON_ENTROPY: 7.9296719, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 402, 'shrink': 370, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0176538, PRECISION: 0.0032704, PRECISION_RECALL_MIN_DEN: 0.0109014, RECALL: 0.0109014, MAP: 0.0034996, MRR: 0.0104060, NDCG: 0.0073145, F1: 0.0050314, HIT_RATE: 0.0327041, ARHR: 0.0104524, RMSE: 0.9372461, NOVELTY: 0.0058262, AVERAGE_POPULARITY: 0.3262762, DIVERSITY_MEAN_INTER_LIST: 0.9206896, DIVERSITY_HERFINDAHL: 0.9920488, COVERAGE_ITEM: 0.1067856, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1636945, SHANNON_ENTROPY: 8.3047716, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 503, 'shrink': 99, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0208516, PRECISION: 0.0037313, PRECISION_RECALL_MIN_DEN: 0.0124378, RECALL: 0.0124378, MAP: 0.0040942, MRR: 0.0122825, NDCG: 0.0084709, F1: 0.0057405, HIT_RATE: 0.0373134, ARHR: 0.0122825, RMSE: 1.2537917, NOVELTY: 0.0057967, AVERAGE_POPULARITY: 0.3878781, DIVERSITY_MEAN_INTER_LIST: 0.9330791, DIVERSITY_HERFINDAHL: 0.9932874, COVERAGE_ITEM: 0.1068397, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1788763, SHANNON_ENTROPY: 8.4447432, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 609, 'shrink': 1119, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0184631, PRECISION: 0.0035996, PRECISION_RECALL_MIN_DEN: 0.0119988, RECALL: 0.0119988, MAP: 0.0038394, MRR: 0.0113519, NDCG: 0.0079988, F1: 0.0055379, HIT_RATE: 0.0359965, ARHR: 0.0114351, RMSE: 0.9537129, NOVELTY: 0.0058531, AVERAGE_POPULARITY: 0.3832495, DIVERSITY_MEAN_INTER_LIST: 0.9414505, DIVERSITY_HERFINDAHL: 0.9941244, COVERAGE_ITEM: 0.1103541, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1906823, SHANNON_ENTROPY: 8.6302561, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 323, 'shrink': 1629, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0168505, PRECISION: 0.0032265, PRECISION_RECALL_MIN_DEN: 0.0107550, RECALL: 0.0107550, MAP: 0.0036794, MRR: 0.0109024, NDCG: 0.0074290, F1: 0.0049639, HIT_RATE: 0.0322651, ARHR: 0.0109704, RMSE: 0.9825380, NOVELTY: 0.0058315, AVERAGE_POPULARITY: 0.2990009, DIVERSITY_MEAN_INTER_LIST: 0.9095967, DIVERSITY_HERFINDAHL: 0.9909397, COVERAGE_ITEM: 0.1035956, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1555362, SHANNON_ENTROPY: 8.1923827, 
