SearchBayesianSkopt: New best config found. Config 0: {'topK': 580, 'shrink': 150, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0314878, PRECISION: 0.0068920, PRECISION_RECALL_MIN_DEN: 0.0229734, RECALL: 0.0229734, MAP: 0.0078706, MRR: 0.0200325, NDCG: 0.0152849, F1: 0.0106031, HIT_RATE: 0.0689201, ARHR: 0.0217356, RMSE: 0.9793221, NOVELTY: 0.0051655, AVERAGE_POPULARITY: 0.6477135, DIVERSITY_MEAN_INTER_LIST: 0.5849760, DIVERSITY_HERFINDAHL: 0.9584848, COVERAGE_ITEM: 0.0047040, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3002524, SHANNON_ENTROPY: 5.0952779, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 339, 'shrink': 454, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0297560, PRECISION: 0.0061896, PRECISION_RECALL_MIN_DEN: 0.0206321, RECALL: 0.0206321, MAP: 0.0071026, MRR: 0.0189174, NDCG: 0.0139401, F1: 0.0095225, HIT_RATE: 0.0618964, ARHR: 0.0200970, RMSE: 0.9959415, NOVELTY: 0.0051972, AVERAGE_POPULARITY: 0.5993591, DIVERSITY_MEAN_INTER_LIST: 0.6725384, DIVERSITY_HERFINDAHL: 0.9672391, COVERAGE_ITEM: 0.0069208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2915460, SHANNON_ENTROPY: 5.5841280, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 268, 'shrink': 186, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0292728, PRECISION: 0.0060140, PRECISION_RECALL_MIN_DEN: 0.0200468, RECALL: 0.0200468, MAP: 0.0070595, MRR: 0.0189907, NDCG: 0.0137246, F1: 0.0092524, HIT_RATE: 0.0601405, ARHR: 0.0200663, RMSE: 0.9927595, NOVELTY: 0.0052075, AVERAGE_POPULARITY: 0.5849891, DIVERSITY_MEAN_INTER_LIST: 0.7206268, DIVERSITY_HERFINDAHL: 0.9720469, COVERAGE_ITEM: 0.0082725, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2948919, SHANNON_ENTROPY: 5.8489602, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 271, 'shrink': 800, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0286579, PRECISION: 0.0061677, PRECISION_RECALL_MIN_DEN: 0.0205590, RECALL: 0.0205590, MAP: 0.0071654, MRR: 0.0187728, NDCG: 0.0138877, F1: 0.0094888, HIT_RATE: 0.0616769, ARHR: 0.0201071, RMSE: 0.9981800, NOVELTY: 0.0052243, AVERAGE_POPULARITY: 0.5821744, DIVERSITY_MEAN_INTER_LIST: 0.7220038, DIVERSITY_HERFINDAHL: 0.9721845, COVERAGE_ITEM: 0.0083266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2933742, SHANNON_ENTROPY: 5.8510535, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 87, 'shrink': 399, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0238317, PRECISION: 0.0046093, PRECISION_RECALL_MIN_DEN: 0.0153644, RECALL: 0.0153644, MAP: 0.0054913, MRR: 0.0149793, NDCG: 0.0106656, F1: 0.0070912, HIT_RATE: 0.0460931, ARHR: 0.0156992, RMSE: 0.9992178, NOVELTY: 0.0053585, AVERAGE_POPULARITY: 0.4076797, DIVERSITY_MEAN_INTER_LIST: 0.9095277, DIVERSITY_HERFINDAHL: 0.9909328, COVERAGE_ITEM: 0.0213571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3521171, SHANNON_ENTROPY: 7.4806335, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 694, 'shrink': 992, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0308387, PRECISION: 0.0069140, PRECISION_RECALL_MIN_DEN: 0.0230465, RECALL: 0.0230465, MAP: 0.0079453, MRR: 0.0203320, NDCG: 0.0153849, F1: 0.0106369, HIT_RATE: 0.0691396, ARHR: 0.0220170, RMSE: 0.9957239, NOVELTY: 0.0051490, AVERAGE_POPULARITY: 0.6560404, DIVERSITY_MEAN_INTER_LIST: 0.5518704, DIVERSITY_HERFINDAHL: 0.9551749, COVERAGE_ITEM: 0.0041633, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3045468, SHANNON_ENTROPY: 4.9416917, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 700, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0309898, PRECISION: 0.0069359, PRECISION_RECALL_MIN_DEN: 0.0231197, RECALL: 0.0231197, MAP: 0.0079032, MRR: 0.0203273, NDCG: 0.0153879, F1: 0.0106706, HIT_RATE: 0.0693591, ARHR: 0.0219516, RMSE: 0.9957120, NOVELTY: 0.0051523, AVERAGE_POPULARITY: 0.6545211, DIVERSITY_MEAN_INTER_LIST: 0.5531608, DIVERSITY_HERFINDAHL: 0.9553039, COVERAGE_ITEM: 0.0040011, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3212256, SHANNON_ENTROPY: 4.9590331, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 6, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0089107, PRECISION: 0.0014486, PRECISION_RECALL_MIN_DEN: 0.0048288, RECALL: 0.0048288, MAP: 0.0017621, MRR: 0.0052314, NDCG: 0.0034814, F1: 0.0022287, HIT_RATE: 0.0144864, ARHR: 0.0052588, RMSE: 0.9991428, NOVELTY: 0.0060972, AVERAGE_POPULARITY: 0.1630624, DIVERSITY_MEAN_INTER_LIST: 0.9853458, DIVERSITY_HERFINDAHL: 0.9985130, COVERAGE_ITEM: 0.0984050, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4249349, SHANNON_ENTROPY: 9.9759575, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 699, 'shrink': 33, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0333160, PRECISION: 0.0071993, PRECISION_RECALL_MIN_DEN: 0.0239977, RECALL: 0.0239977, MAP: 0.0084790, MRR: 0.0217137, NDCG: 0.0162468, F1: 0.0110758, HIT_RATE: 0.0719930, ARHR: 0.0234963, RMSE: 0.9228907, NOVELTY: 0.0051533, AVERAGE_POPULARITY: 0.6539610, DIVERSITY_MEAN_INTER_LIST: 0.5569556, DIVERSITY_HERFINDAHL: 0.9556833, COVERAGE_ITEM: 0.0043796, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2976193, SHANNON_ENTROPY: 4.9786050, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 700, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0309898, PRECISION: 0.0069359, PRECISION_RECALL_MIN_DEN: 0.0231197, RECALL: 0.0231197, MAP: 0.0079032, MRR: 0.0203273, NDCG: 0.0153879, F1: 0.0106706, HIT_RATE: 0.0693591, ARHR: 0.0219516, RMSE: 0.9957120, NOVELTY: 0.0051523, AVERAGE_POPULARITY: 0.6545211, DIVERSITY_MEAN_INTER_LIST: 0.5531608, DIVERSITY_HERFINDAHL: 0.9553039, COVERAGE_ITEM: 0.0040011, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3212256, SHANNON_ENTROPY: 4.9590331, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 699, 'shrink': 11, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0334926, PRECISION: 0.0068701, PRECISION_RECALL_MIN_DEN: 0.0229002, RECALL: 0.0229002, MAP: 0.0080296, MRR: 0.0206676, NDCG: 0.0155006, F1: 0.0105693, HIT_RATE: 0.0687006, ARHR: 0.0223173, RMSE: 0.8856665, NOVELTY: 0.0051656, AVERAGE_POPULARITY: 0.6435838, DIVERSITY_MEAN_INTER_LIST: 0.5693511, DIVERSITY_HERFINDAHL: 0.9569226, COVERAGE_ITEM: 0.0048121, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2849439, SHANNON_ENTROPY: 5.0528183, 
