SearchBayesianSkopt: New best config found. Config 0: {'topK': 79, 'shrink': 470, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.22896282550479125, 'threshold_count': 5} - results: ROC_AUC: 0.0472391, PRECISION: 0.0077717, PRECISION_RECALL_MIN_DEN: 0.0259056, RECALL: 0.0259056, MAP: 0.0117550, MRR: 0.0333746, NDCG: 0.0208224, F1: 0.0119564, HIT_RATE: 0.0777167, ARHR: 0.0343028, RMSE: 0.9962522, NOVELTY: 0.0060184, AVERAGE_POPULARITY: 0.3197037, DIVERSITY_MEAN_INTER_LIST: 0.9839681, DIVERSITY_HERFINDAHL: 0.9983907, COVERAGE_ITEM: 0.4382806, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1960750, SHANNON_ENTROPY: 10.6664958, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 955, 'shrink': 931, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.11820474919237509, 'threshold_count': 8} - results: ROC_AUC: 0.0923621, PRECISION: 0.0150924, PRECISION_RECALL_MIN_DEN: 0.0503079, RECALL: 0.0503079, MAP: 0.0237614, MRR: 0.0664574, NDCG: 0.0412759, F1: 0.0232190, HIT_RATE: 0.1509236, ARHR: 0.0688535, RMSE: 0.9855654, NOVELTY: 0.0051768, AVERAGE_POPULARITY: 0.6497333, DIVERSITY_MEAN_INTER_LIST: 0.8412312, DIVERSITY_HERFINDAHL: 0.9841179, COVERAGE_ITEM: 0.1504731, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0593335, SHANNON_ENTROPY: 7.0950807, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 68, 'shrink': 453, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.13909338812457545, 'threshold_count': 7} - results: ROC_AUC: 0.0435228, PRECISION: 0.0071848, PRECISION_RECALL_MIN_DEN: 0.0239493, RECALL: 0.0239493, MAP: 0.0106265, MRR: 0.0301169, NDCG: 0.0189961, F1: 0.0110535, HIT_RATE: 0.0718478, ARHR: 0.0309828, RMSE: 0.9966002, NOVELTY: 0.0060953, AVERAGE_POPULARITY: 0.3010639, DIVERSITY_MEAN_INTER_LIST: 0.9862233, DIVERSITY_HERFINDAHL: 0.9986162, COVERAGE_ITEM: 0.4668289, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2091340, SHANNON_ENTROPY: 10.8742309, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 523, 'shrink': 819, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.05004584999149713, 'threshold_count': 7} - results: ROC_AUC: 0.0921806, PRECISION: 0.0150429, PRECISION_RECALL_MIN_DEN: 0.0501431, RECALL: 0.0501431, MAP: 0.0236038, MRR: 0.0659577, NDCG: 0.0410526, F1: 0.0231430, HIT_RATE: 0.1504294, ARHR: 0.0683616, RMSE: 0.9890484, NOVELTY: 0.0052956, AVERAGE_POPULARITY: 0.5834009, DIVERSITY_MEAN_INTER_LIST: 0.8996072, DIVERSITY_HERFINDAHL: 0.9899552, COVERAGE_ITEM: 0.1847526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0756591, SHANNON_ENTROPY: 7.8265908, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 346, 'shrink': 44, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.18293504188044796, 'threshold_count': 5} - results: ROC_AUC: 0.0912948, PRECISION: 0.0145858, PRECISION_RECALL_MIN_DEN: 0.0486193, RECALL: 0.0486193, MAP: 0.0233372, MRR: 0.0654062, NDCG: 0.0403448, F1: 0.0224397, HIT_RATE: 0.1458578, ARHR: 0.0676849, RMSE: 0.9452904, NOVELTY: 0.0053562, AVERAGE_POPULARITY: 0.5496859, DIVERSITY_MEAN_INTER_LIST: 0.9201630, DIVERSITY_HERFINDAHL: 0.9920106, COVERAGE_ITEM: 0.2020005, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0851671, SHANNON_ENTROPY: 8.1677443, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 116, 'shrink': 822, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.1687353538958573, 'threshold_count': 2} - results: ROC_AUC: 0.0578356, PRECISION: 0.0094150, PRECISION_RECALL_MIN_DEN: 0.0313832, RECALL: 0.0313832, MAP: 0.0144105, MRR: 0.0406192, NDCG: 0.0253774, F1: 0.0144846, HIT_RATE: 0.0941496, ARHR: 0.0419072, RMSE: 0.9967291, NOVELTY: 0.0058289, AVERAGE_POPULARITY: 0.3698778, DIVERSITY_MEAN_INTER_LIST: 0.9764982, DIVERSITY_HERFINDAHL: 0.9976438, COVERAGE_ITEM: 0.3686942, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1635667, SHANNON_ENTROPY: 10.1072533, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 485, 'shrink': 683, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.1662623539754638, 'threshold_count': 8} - results: ROC_AUC: 0.0923499, PRECISION: 0.0148144, PRECISION_RECALL_MIN_DEN: 0.0493812, RECALL: 0.0493812, MAP: 0.0235087, MRR: 0.0657146, NDCG: 0.0407380, F1: 0.0227913, HIT_RATE: 0.1481436, ARHR: 0.0680918, RMSE: 0.9881772, NOVELTY: 0.0053113, AVERAGE_POPULARITY: 0.5733417, DIVERSITY_MEAN_INTER_LIST: 0.9058220, DIVERSITY_HERFINDAHL: 0.9905766, COVERAGE_ITEM: 0.1907002, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0782088, SHANNON_ENTROPY: 7.9287128, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.25, 'threshold_count': 2} - results: ROC_AUC: 0.0929458, PRECISION: 0.0151418, PRECISION_RECALL_MIN_DEN: 0.0504726, RECALL: 0.0504726, MAP: 0.0237043, MRR: 0.0665115, NDCG: 0.0413182, F1: 0.0232950, HIT_RATE: 0.1514178, ARHR: 0.0687844, RMSE: 0.8606261, NOVELTY: 0.0052012, AVERAGE_POPULARITY: 0.6463677, DIVERSITY_MEAN_INTER_LIST: 0.8411506, DIVERSITY_HERFINDAHL: 0.9841099, COVERAGE_ITEM: 0.2017302, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0585883, SHANNON_ENTROPY: 7.1702292, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 703, 'shrink': 0, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.25, 'threshold_count': 2} - results: ROC_AUC: 0.0933534, PRECISION: 0.0153580, PRECISION_RECALL_MIN_DEN: 0.0511933, RECALL: 0.0511933, MAP: 0.0238174, MRR: 0.0667246, NDCG: 0.0416410, F1: 0.0236277, HIT_RATE: 0.1535800, ARHR: 0.0690570, RMSE: 0.8717579, NOVELTY: 0.0052411, AVERAGE_POPULARITY: 0.6214948, DIVERSITY_MEAN_INTER_LIST: 0.8678639, DIVERSITY_HERFINDAHL: 0.9867810, COVERAGE_ITEM: 0.2093539, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0635611, SHANNON_ENTROPY: 7.4407284, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'dice', 'normalize': True, 'threshold_sim': 0.05, 'threshold_count': 10} - results: ROC_AUC: 0.0918049, PRECISION: 0.0148452, PRECISION_RECALL_MIN_DEN: 0.0494842, RECALL: 0.0494842, MAP: 0.0234905, MRR: 0.0659711, NDCG: 0.0407847, F1: 0.0228388, HIT_RATE: 0.1484525, ARHR: 0.0681931, RMSE: 0.9016420, NOVELTY: 0.0052397, AVERAGE_POPULARITY: 0.6847247, DIVERSITY_MEAN_INTER_LIST: 0.8475203, DIVERSITY_HERFINDAHL: 0.9847468, COVERAGE_ITEM: 0.2042714, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0593971, SHANNON_ENTROPY: 7.2182273, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 654, 'shrink': 907, 'similarity': 'dice', 'normalize': False, 'threshold_sim': 0.0541367307926228, 'threshold_count': 2} - results: ROC_AUC: 0.0931384, PRECISION: 0.0149997, PRECISION_RECALL_MIN_DEN: 0.0499990, RECALL: 0.0499990, MAP: 0.0240743, MRR: 0.0670678, NDCG: 0.0414792, F1: 0.0230764, HIT_RATE: 0.1499969, ARHR: 0.0696224, RMSE: 0.9883759, NOVELTY: 0.0052467, AVERAGE_POPULARITY: 0.6097650, DIVERSITY_MEAN_INTER_LIST: 0.8797208, DIVERSITY_HERFINDAHL: 0.9879666, COVERAGE_ITEM: 0.1702082, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0690581, SHANNON_ENTROPY: 7.5415927, 
